04_一般会計歳出予算款別内訳,,
単位：千円,,
,,
区分,平成31年度,平成30年度
議会費,"6,044,000","6,097,000"
総務費,"214,339,000","190,686,000"
徴税費,"70,759,000","70,778,000"
生活文化費,"28,810,000","36,940,000"
スポーツ振興費,"348,238,000","139,430,000"
,,
都市整備費,"138,844,000","134,209,000"
環境費,"41,695,000","33,632,000"
福祉保健費,"1,221,374,000","1,166,799,000"
産業労働費,"478,173,000","456,168,000"
土木費,"575,330,000","596,500,000"
,,
港湾費,"129,855,000","122,920,000"
教育費,"843,366,000","818,371,000"
学務費,"211,889,000","207,136,000"
警察費,"672,223,000","654,675,000"
消防費,"268,492,000","254,007,000"
,,
公債費,"366,832,000","431,976,000"
諸支出金,"1,839,737,000","1,720,676,000"
予備費,"5,000,000","5,000,000"
,,
,"7,461,000,000","7,046,000,000"
